"","HostCorrectedName","bodymass_kg","mean_groupsize","mean_dayrange_meters","homerange_ha","social_time","SSD","diel_activity","habitat_category","locomotion","mating_system","trophic_folivore","trophic_Omnivore","realm","iucn"
"483","Lemur_catta",2.21,12.81428571,1050,13.05333333,7,1,"diurnal","forest_shrubland","both","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"484","Ateles_belzebuth",7.6475,17.44909091,2243,207.0384615,3.2775,1.186507937,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Neotropics","endangered"
"485","Cercopithecus_aethiops",4.704444444,25.7328,2379.125,59.85777778,6.580714286,1.505456349,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"486","Cercopithecus_aethiops",4.704444444,25.7328,2379.125,59.85777778,6.580714286,1.505456349,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"487","Galago_senegalensis",0.216666667,1,NA,6.433333333,NA,1.163166397,"nocturnal","forest_savanna","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"488","Pongo_pygmaeus",56.95,1.311666667,669.3333333,418,0.89,2.19047619,"diurnal","forest","arboreal","dispersed","Non-Folivore","Other","Asia","endangered"
"489","Presbytis_entellus",15.398,34.75,853.25,268.4458333,NA,1.318002985,"diurnal","forest_savanna_shrubland_rocky.areas","both","polygynous","Folivore","Other","Asia","least concern"
"490","Macaca_mulatta",5.96,45.0875,923,617.3928571,19.5,1.585034014,"diurnal","forest_savanna_shrubland","both","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"491","Macaca_radiata",5.14,21.92142857,933.3333333,224.3,35.66666667,1.788617886,"diurnal","forest_savanna_shrubland","both","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"492","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"493","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"494","Lemur_catta",2.21,12.81428571,1050,13.05333333,7,1,"diurnal","forest_shrubland","both","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"495","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"496","Propithecus_verreauxi",3.22,4.739285714,938.3333333,7.076428571,4.7,1.010784527,"diurnal","forest_shrubland","arboreal","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"497","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"498","Colobus_badius",7.826153846,32.94153846,666.8090909,81.54,6.75,1.328602642,"diurnal","forest_savanna_shrubland_wetlands","arboreal","multimale-multifemale","Folivore","Other","M_Africa","least concern"
"499","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"500","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"501","Papio_anubis",16.65,40.525,3384.25,2260,13.2,1.729508197,"diurnal","forest_savanna_shrubland_grassland","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"502","Pongo_pygmaeus",56.95,1.311666667,669.3333333,418,0.89,2.19047619,"diurnal","forest","arboreal","dispersed","Non-Folivore","Other","Asia","endangered"
"503","Gorilla_gorilla",126.25,9.244117647,989.1,1601.277778,3.6,1.915704388,"diurnal","forest","both","polygynous","Folivore","Other","M_Africa","endangered"
"504","Mandrillus_sphinx",23.6,363.55,2881.5,6160.5,NA,2.6875,"diurnal","forest","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","vulnerable"
"505","Gorilla_gorilla",126.25,9.244117647,989.1,1601.277778,3.6,1.915704388,"diurnal","forest","both","polygynous","Folivore","Other","M_Africa","endangered"
"506","Mandrillus_sphinx",23.6,363.55,2881.5,6160.5,NA,2.6875,"diurnal","forest","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","vulnerable"
"507","Pongo_pygmaeus",56.95,1.311666667,669.3333333,418,0.89,2.19047619,"diurnal","forest","arboreal","dispersed","Non-Folivore","Other","Asia","endangered"
"508","Pongo_pygmaeus",56.95,1.311666667,669.3333333,418,0.89,2.19047619,"diurnal","forest","arboreal","dispersed","Non-Folivore","Other","Asia","endangered"
"509","Mandrillus_sphinx",23.6,363.55,2881.5,6160.5,NA,2.6875,"diurnal","forest","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","vulnerable"
"510","Aotus_azarae",0.94,3.68,568.0625,6.9825,1.4,0.865789474,"nocturnal","forest_savanna","arboreal","monogamy","Non-Folivore","Other","Neotropics","least concern"
"511","Alouatta_seniculus",6.285,8.684761905,729.8,16.64,2.833333333,1.325707023,"diurnal","forest_savanna","arboreal","polygynous","Folivore","Other","Neotropics","least concern"
"512","Pithecia_pithecia",1.83,4.675,970.175,26.175,NA,1.103448276,"diurnal","forest_wetlands","arboreal","monogamy","Non-Folivore","Other","Neotropics","least concern"
"513","Pongo_pygmaeus",56.95,1.311666667,669.3333333,418,0.89,2.19047619,"diurnal","forest","arboreal","dispersed","Non-Folivore","Other","Asia","endangered"
"514","Pongo_pygmaeus",56.95,1.311666667,669.3333333,418,0.89,2.19047619,"diurnal","forest","arboreal","dispersed","Non-Folivore","Other","Asia","endangered"
"515","Macaca_mulatta",5.96,45.0875,923,617.3928571,19.5,1.585034014,"diurnal","forest_savanna_shrubland","both","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"516","Microcebus_rufus",0.053318182,NA,NA,0.675,NA,1.020278834,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","Madagascar","vulnerable"
"517","Microcebus_rufus",0.053318182,NA,NA,0.675,NA,1.020278834,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","Madagascar","vulnerable"
"518","Hapalemur_simus",1.98,23.3,NA,51.185,3,0.756359525,"cathemeral","forest","arboreal","variable","Folivore","Other","Madagascar","endangered"
"519","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"520","Cercopithecus_ascanius",3.24,21,1668,41.25,3.933333333,1.322580645,"diurnal","forest","arboreal","polygynous","Non-Folivore","Other","M_Africa","least concern"
"521","Papio_anubis",16.65,40.525,3384.25,2260,13.2,1.729508197,"diurnal","forest_savanna_shrubland_grassland","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
